side,entry_ts,exit_ts,entry,exit,notional,pnl,reason
LONG,2026-01-11 20:25:00+00:00,2026-01-11 22:00:00+00:00,3104.33,3110.5,17790.7543257112,13.989829034285528,TRAIL
LONG,2026-01-11 23:05:00+00:00,2026-01-12 00:05:00+00:00,3099.1,3109.12,11234.693868591488,22.82054850181223,TRAIL
LONG,2026-01-12 00:45:00+00:00,2026-01-12 03:55:00+00:00,3107.04,3151.18,16445.666620839074,213.75951541914947,TRAIL
LONG,2026-01-12 07:55:00+00:00,2026-01-12 08:30:00+00:00,3133.96,3124.01,19441.99940696729,-85.01970781905719,STOP
LONG,2026-01-12 08:45:00+00:00,2026-01-12 12:45:00+00:00,3111.45,3115.73,17600.310532767166,3.075462576671576,TIME
LONG,2026-01-12 14:25:00+00:00,2026-01-12 17:20:00+00:00,3076.38,3119.17,6876.80971359335,87.3413936483878,TRAIL
LONG,2026-01-12 17:35:00+00:00,2026-01-12 19:00:00+00:00,3095.02,3097.4,8284.44140178535,-3.5746049585773747,TRAIL
SHORT,2026-01-13 14:30:00+00:00,2026-01-13 15:30:00+00:00,3150.4,3152.59,14101.764838698477,-26.730838830990123,STOP
SHORT,2026-01-13 16:05:00+00:00,2026-01-13 18:45:00+00:00,3180.61,3204.06,13234.332406967716,-113.51382344791323,STOP
SHORT,2026-01-13 22:25:00+00:00,2026-01-14 02:25:00+00:00,3314.4,3336.22,3403.6152036852113,-26.505121455458024,TIME
SHORT,2026-01-14 14:55:00+00:00,2026-01-14 15:10:00+00:00,3347.52,3358.53,9937.325047743985,-44.6282824172873,STOP
SHORT,2026-01-14 16:15:00+00:00,2026-01-14 16:30:00+00:00,3365.69,3378.87,26938.882368035513,-137.88228110408213,STOP
LONG,2026-01-14 17:55:00+00:00,2026-01-14 18:10:00+00:00,3340.96,3338.16,13183.251866118868,-26.861925299181774,STOP
LONG,2026-01-15 03:40:00+00:00,2026-01-15 07:40:00+00:00,3283.03,3328.45,12023.685866226308,151.81682679277725,TIME
SHORT,2026-01-15 09:45:00+00:00,2026-01-15 09:50:00+00:00,3361.43,3372.09,24757.857031236883,-108.27037041948734,STOP
SHORT,2026-01-15 12:55:00+00:00,2026-01-15 13:25:00+00:00,3367.87,3371.0,18536.683769572897,-39.48180941999608,STOP
LONG,2026-01-15 14:45:00+00:00,2026-01-15 15:45:00+00:00,3343.24,3292.6,9551.19727486698,-156.0464579730844,STOP
LONG,2026-01-15 15:50:00+00:00,2026-01-15 17:50:00+00:00,3293.95,3302.72,7002.7326952228095,10.230008264832996,TRAIL
LONG,2026-01-16 15:35:00+00:00,2026-01-16 15:45:00+00:00,3278.94,3257.77,11595.966680571086,-88.7379145223835,STOP
LONG,2026-01-16 15:50:00+00:00,2026-01-16 19:05:00+00:00,3261.8,3274.62,8002.412551025178,21.830477416174276,TRAIL
