entry_ts,exit_ts,side,entry,exit,qty,notional,pnl,reason
2025-11-30 13:20:00+00:00,2025-11-30 13:24:00+00:00,SHORT,3038.43,3046.59,5.44230407774197,16580.46918020791,-60.98967045458407,STOP
2025-11-30 13:26:00+00:00,2025-11-30 14:26:00+00:00,SHORT,3042.88,3038.71,3.0551850101062636,9283.821242060005,3.456300250083336,TIME
2025-11-30 21:09:00+00:00,2025-11-30 21:11:00+00:00,LONG,3023.04,3018.32,8.989570277885013,27133.399761145894,-69.56417147276136,STOP
2025-11-30 21:16:00+00:00,2025-11-30 22:08:00+00:00,LONG,3018.94,3026.45,5.970717679640648,18070.07852154844,26.77001125255142,EMA
2025-11-30 23:41:00+00:00,2025-12-01 00:04:00+00:00,LONG,2994.62,2985.85,3.9846729062944855,11897.635597259388,-46.84321698546195,STOP
2025-12-01 00:12:00+00:00,2025-12-01 00:32:00+00:00,LONG,2917.81,2875.54,0.847149340884909,2436.0118156881913,-38.24501445489328,STOP
2025-12-01 09:09:00+00:00,2025-12-01 09:16:00+00:00,LONG,2835.43,2834.21,2.4463989694054042,6933.608423078491,-9.918215165752596,EMA
2025-12-01 12:06:00+00:00,2025-12-01 12:12:00+00:00,LONG,2826.52,2818.15,4.608973088762983,12988.777510097401,-51.565882263043065,STOP
2025-12-01 12:13:00+00:00,2025-12-01 12:48:00+00:00,LONG,2817.0,2803.92,3.1874570432901526,8937.374552822124,-50.629312679057094,STOP
2025-12-01 12:52:00+00:00,2025-12-01 13:02:00+00:00,LONG,2820.41,2832.3,1.6789560122267981,4755.307113429961,15.207479871947218,EMA
2025-12-01 13:03:00+00:00,2025-12-01 13:05:00+00:00,SHORT,2835.79,2827.11,1.4936498842037043,4222.712524131134,8.742168470756774,EMA
2025-12-01 15:25:00+00:00,2025-12-01 15:34:00+00:00,LONG,2773.96,2742.6,1.1100391243064653,3044.393302322912,-37.85522024057381,STOP
2025-12-01 15:38:00+00:00,2025-12-01 16:38:00+00:00,LONG,2744.01,2748.22,1.1937453079340468,3280.674730170506,1.7449930162313314,TIME
2025-12-01 22:17:00+00:00,2025-12-01 22:46:00+00:00,SHORT,2796.67,2809.41,2.323794541384923,6528.491622512216,-36.13363407975563,STOP
2025-12-02 04:29:00+00:00,2025-12-02 05:05:00+00:00,SHORT,2805.6,2800.71,4.065311654787286,11385.7590046793,8.493614987230012,EMA
2025-12-02 06:52:00+00:00,2025-12-02 07:24:00+00:00,SHORT,2811.14,2804.36,5.866880984436518,16452.846357514394,23.3246067169637,EMA
2025-12-02 08:13:00+00:00,2025-12-02 08:25:00+00:00,LONG,2794.11,2787.83,4.685610221037594,13062.684742515235,-42.488316930632266,STOP
2025-12-02 08:27:00+00:00,2025-12-02 08:46:00+00:00,LONG,2787.93,2799.78,1.6843591309400177,4715.835007623243,15.243820694016579,EMA
2025-12-02 10:50:00+00:00,2025-12-02 10:51:00+00:00,SHORT,2818.15,2830.37,4.920229028937499,13926.068636633827,-74.05126737024908,STOP
2025-12-02 10:52:00+00:00,2025-12-02 11:24:00+00:00,SHORT,2828.41,2821.76,2.9180859373345527,8234.138174533147,11.171133308740568,TRAIL
2025-12-02 14:12:00+00:00,2025-12-02 14:43:00+00:00,SHORT,2857.81,2872.5,2.166445099899709,6223.113549461914,-38.048192066988754,STOP
2025-12-02 14:58:00+00:00,2025-12-02 15:03:00+00:00,SHORT,2894.37,2921.58,1.2101241042067032,3535.47438036822,-36.462951255832664,STOP
