ts,equity,pos,entry_px,stop_px,trail_px,size_notional,funding_pnl,close
2025-12-18 00:15:00+00:00,1000.0,0,,,,0.0,0.0,2833.5
2025-12-18 00:30:00+00:00,1000.0,0,,,,0.0,0.0,2831.67
2025-12-18 00:45:00+00:00,1000.0,0,,,,0.0,0.0,2834.71
2025-12-18 01:00:00+00:00,1000.0,0,,,,0.0,0.0,2827.67
2025-12-18 01:15:00+00:00,1000.0,0,,,,0.0,0.0,2825.02
2025-12-18 01:30:00+00:00,1000.0,0,,,,0.0,0.0,2827.78
2025-12-18 01:45:00+00:00,1000.0,0,,,,0.0,0.0,2826.14
2025-12-18 02:00:00+00:00,1000.0,0,,,,0.0,0.0,2833.05
2025-12-18 02:15:00+00:00,1000.0,0,,,,0.0,0.0,2833.34
2025-12-18 02:30:00+00:00,1000.0,0,,,,0.0,0.0,2839.39
2025-12-18 02:45:00+00:00,1000.0,0,,,,0.0,0.0,2835.59
2025-12-18 03:00:00+00:00,1000.0,0,,,,0.0,0.0,2834.45
2025-12-18 03:15:00+00:00,1000.0,0,,,,0.0,0.0,2825.57
2025-12-18 03:30:00+00:00,1000.0,0,,,,0.0,0.0,2827.92
2025-12-18 03:45:00+00:00,1000.0,0,,,,0.0,0.0,2830.57
2025-12-18 04:00:00+00:00,1000.0,0,,,,0.0,0.0,2832.32
2025-12-18 04:15:00+00:00,1000.0,0,,,,0.0,0.0,2835.84
2025-12-18 04:30:00+00:00,1000.0,0,,,,0.0,0.0,2838.35
2025-12-18 04:45:00+00:00,1000.0,0,,,,0.0,0.0,2836.76
2025-12-18 05:00:00+00:00,1000.0,0,,,,0.0,0.0,2827.64
2025-12-18 05:15:00+00:00,1000.0,0,,,,0.0,0.0,2825.55
2025-12-18 05:30:00+00:00,1000.0,0,,,,0.0,0.0,2829.94
2025-12-18 05:45:00+00:00,1000.0,0,,,,0.0,0.0,2824.02
2025-12-18 06:00:00+00:00,1000.0,0,,,,0.0,0.0,2829.4
2025-12-18 06:15:00+00:00,1000.0,0,,,,0.0,0.0,2825.97
2025-12-18 06:30:00+00:00,1000.0,0,,,,0.0,0.0,2828.0
2025-12-18 06:45:00+00:00,1000.0,0,,,,0.0,0.0,2830.22
2025-12-18 07:00:00+00:00,1000.0,0,,,,0.0,0.0,2834.57
2025-12-18 07:15:00+00:00,1000.0,0,,,,0.0,0.0,2837.19
2025-12-18 07:30:00+00:00,1000.0,0,,,,0.0,0.0,2834.57
2025-12-18 07:45:00+00:00,1000.0,0,,,,0.0,0.0,2834.98
2025-12-18 08:00:00+00:00,1000.0,0,,,,0.0,0.0,2837.2
2025-12-18 08:15:00+00:00,1000.0,0,,,,0.0,0.0,2842.65
2025-12-18 08:30:00+00:00,1000.0,0,,,,0.0,0.0,2843.56
2025-12-18 08:45:00+00:00,1000.0,0,,,,0.0,0.0,2840.41
2025-12-18 09:00:00+00:00,1000.0,0,,,,0.0,0.0,2837.61
2025-12-18 09:15:00+00:00,1000.0,0,,,,0.0,0.0,2844.48
2025-12-18 09:30:00+00:00,1000.0,0,,,,0.0,0.0,2855.42
2025-12-18 09:45:00+00:00,1000.0,0,,,,0.0,0.0,2851.13
2025-12-18 10:00:00+00:00,1000.0,0,,,,0.0,0.0,2853.0
2025-12-18 10:15:00+00:00,1000.0,0,,,,0.0,0.0,2857.08
2025-12-18 10:30:00+00:00,1000.0,0,,,,0.0,0.0,2858.11
2025-12-18 10:45:00+00:00,1000.0,0,,,,0.0,0.0,2858.0
2025-12-18 11:00:00+00:00,1000.0,0,,,,0.0,0.0,2849.26
2025-12-18 11:15:00+00:00,1000.0,0,,,,0.0,0.0,2853.57
2025-12-18 11:30:00+00:00,1000.0,0,,,,0.0,0.0,2853.15
2025-12-18 11:45:00+00:00,1000.0,0,,,,0.0,0.0,2857.65
2025-12-18 12:00:00+00:00,1000.0,0,,,,0.0,0.0,2852.78
2025-12-18 12:15:00+00:00,1000.0,0,,,,0.0,0.0,2856.99
2025-12-18 12:30:00+00:00,1000.0,0,,,,0.0,0.0,2870.75
2025-12-18 12:45:00+00:00,1000.0,0,,,,0.0,0.0,2870.0
2025-12-18 13:00:00+00:00,1000.0,0,,,,0.0,0.0,2902.92
2025-12-18 13:15:00+00:00,1000.0,0,,,,0.0,0.0,2889.5
2025-12-18 13:30:00+00:00,1000.0,0,,,,0.0,0.0,2936.62
2025-12-18 13:45:00+00:00,1000.0,0,,,,0.0,0.0,2962.87
2025-12-18 14:00:00+00:00,1000.0,0,,,,0.0,0.0,2934.56
2025-12-18 14:15:00+00:00,1000.0,0,,,,0.0,0.0,2961.52
2025-12-18 14:30:00+00:00,1000.0,0,,,,0.0,0.0,2928.43
2025-12-18 14:45:00+00:00,1000.0,0,,,,0.0,0.0,2949.09
2025-12-18 15:00:00+00:00,1000.0,0,,,,0.0,0.0,2936.51
2025-12-18 15:15:00+00:00,1000.0,0,,,,0.0,0.0,2972.0
2025-12-18 15:30:00+00:00,1000.0,0,,,,0.0,0.0,2975.15
2025-12-18 15:45:00+00:00,1000.0,0,,,,0.0,0.0,2963.89
2025-12-18 16:00:00+00:00,1000.0,0,,,,0.0,0.0,2947.93
2025-12-18 16:15:00+00:00,1000.0,0,,,,0.0,0.0,2934.77
2025-12-18 16:30:00+00:00,1000.0,0,,,,0.0,0.0,2950.02
2025-12-18 16:45:00+00:00,1000.0,0,,,,0.0,0.0,2942.56
2025-12-18 17:00:00+00:00,1000.0,0,,,,0.0,0.0,2856.12
2025-12-18 17:15:00+00:00,1000.0,0,,,,0.0,0.0,2822.01
2025-12-18 17:30:00+00:00,1000.0,0,,,,0.0,0.0,2842.06
2025-12-18 17:45:00+00:00,1000.0,0,,,,0.0,0.0,2844.45
2025-12-18 18:00:00+00:00,1000.0,0,,,,0.0,0.0,2855.06
2025-12-18 18:15:00+00:00,1000.0,0,,,,0.0,0.0,2840.03
2025-12-18 18:30:00+00:00,1000.0,0,,,,0.0,0.0,2841.01
2025-12-18 18:45:00+00:00,1000.0,0,,,,0.0,0.0,2826.01
2025-12-18 19:00:00+00:00,1000.0,0,,,,0.0,0.0,2816.85
